product_name,sku,quantity,reorder_level,price,supplier_id,lead_time_days
ল্যাপটপ,LAP001,10,5,50000,SUP001,3
মাউস,MOU001,100,20,500,SUP001,2
কীবোর্ড,KEY001,50,10,1000,SUP002,3
মনিটর,MON001,5,2,15000,SUP001,4
হেডফোন,HEAD001,30,10,2000,SUP002,2
ইউএসবি কেবল,USB001,200,50,100,SUP001,1
এইচডিএমআই কেবল,HDMI001,80,20,300,SUP002,1
পাওয়ার অ্যাডাপ্টার,POWER001,40,10,3000,SUP001,2
ওয়েবক্যাম,WEB001,20,5,2500,SUP002,3
সাউন্ড কার্ড,SOUND001,15,3,5000,SUP001,4
মেমোরি রাম,RAM001,25,5,8000,SUP002,2
এসএসডি ড্রাইভ,SSD001,12,3,15000,SUP001,3
হার্ড ড্রাইভ,HDD001,10,2,10000,SUP001,3
মাদারবোর্ড,MOB001,8,2,12000,SUP002,4
প্রসেসর,CPU001,6,1,25000,SUP001,5
গ্রাফিক্স কার্ড,GPU001,5,1,50000,SUP002,5
পিএসইউ,PSU001,15,3,7000,SUP001,3
কেস,CASE001,20,5,3000,SUP002,2
ফ্যান,FAN001,50,10,1500,SUP001,2
মাউসপ্যাড,PAD001,100,30,200,SUP002,1
